,city,latitude,longtitude,humidity,temperature,cloudiness,wind speed
453,Baillif,16.0202,-61.7463,83,78.8,90,8.05
454,Biscarrosse,44.3945,-1.1672,49,44.6,0,10.36
455,Ürümqi,43.801,87.6005,46,51.8,0,6.71
456,Ranot,7.7777,100.3213,79,81.82,82,7.85
457,Comodoro Rivadavia,-45.8667,-67.5,68,66.2,40,10.36
458,Tandil,-37.3217,-59.1332,59,79.0,0,3.0
459,Kailua,21.4022,-157.7394,56,73.24,75,17.27
460,Natal,-5.795,-35.2094,66,84.22,20,19.57
461,Alekseyevka,50.6309,38.6903,73,43.27,8,7.61
462,Klyuchi,52.2667,79.1667,86,32.16,61,4.97
463,Dwārka,22.2394,68.9678,76,80.28,0,12.53
464,Jammalamadugu,14.8333,78.4,57,80.8,56,8.32
465,Newport,51.5877,-2.9984,77,35.98,68,15.19
466,Aykhal,66.0,111.5,96,22.46,100,6.93
467,Mayo,38.8876,-76.5119,51,66.04,1,9.22
468,Pathein,16.7833,94.7333,89,75.96,8,4.38
469,Nerchinskiy Zavod,51.3088,119.61,40,21.87,55,1.57
470,Rio Brilhante,-21.8019,-54.5464,53,82.22,100,3.06
471,Bièvre,49.9409,5.0159,93,31.06,75,13.8
472,Cockburn Town,21.4612,-71.1419,68,74.19,100,17.98
473,Arrondissement de Niort,46.3333,-0.3333,53,41.0,28,1.01
474,San Miguel,13.4833,-88.1833,38,93.88,20,2.3
475,Kendari,-3.945,122.4989,90,75.81,97,1.83
476,Mbandaka,0.0487,18.2603,84,72.81,41,4.09
477,Payo,-3.7508,103.6372,85,71.71,100,1.54
478,Chlum u Třeboně,48.9623,14.928,91,26.31,100,1.99
479,Emet,39.343,29.2585,38,54.88,1,24.81
480,Bandarbeyla,9.4942,50.8122,60,79.02,100,11.01
481,Laguna,38.421,-121.4238,43,69.75,1,3.6
482,Atherton,53.5237,-2.4935,61,35.28,26,1.01
483,Deniliquin,-35.5333,144.9667,86,57.99,0,5.44
484,Kanigoro,-8.13,112.219,95,72.93,96,2.28
485,Batemans Bay,-35.7167,150.1833,97,58.28,59,1.01
486,Oussouye,12.485,-16.5469,51,86.0,0,4.61
487,Coari,-4.085,-63.1414,85,82.29,87,1.86
488,Pacific Grove,36.6177,-121.9166,67,54.72,1,10.36
489,Smithers,54.7804,-127.1743,61,42.8,90,5.75
490,Kiama,-34.6833,150.8667,94,63.68,42,1.01
491,Launceston,-41.45,147.1667,93,47.91,40,5.75
492,Galyugayevskaya,43.6969,44.9344,75,41.47,83,8.95
493,Norden,53.6,7.2,69,35.67,100,5.99
494,Port Keats,-14.25,129.55,82,76.57,45,2.21
495,Bamora,24.0552,78.0909,17,85.57,5,8.03
496,Pitimbu,-7.4706,-34.8086,74,82.4,20,16.11
497,Itoman,26.1247,127.6694,68,64.44,20,19.57
498,Kaniama,-7.5667,24.1833,95,66.72,69,1.43
499,Temyasovo,52.9933,58.1014,100,32.0,90,6.71
500,Akropong,5.9746,-0.0854,79,84.2,20,10.36
501,Meulaboh,4.1363,96.1285,85,77.04,98,2.15
502,Sydney Mines,46.2367,-60.2177,100,36.9,90,10.36
503,Inhambane,-23.865,35.3833,64,73.99,41,10.25
504,Ossora,59.2353,163.0719,94,10.74,100,3.94
505,Solnechnyy,50.7214,136.6319,93,22.73,100,2.39
506,Shizunai-furukawachō,42.3339,142.3669,74,35.2,100,9.46
507,Chapais,49.7834,-74.8492,47,53.6,1,4.61
508,Puerto Nariño,-3.7703,-70.3831,74,80.6,75,3.44
509,Goderich,43.7501,-81.7165,43,69.8,100,12.66
510,Acaraú,-2.8856,-40.12,75,82.2,100,14.12
511,San Quintín,30.4833,-115.95,60,66.56,81,18.59
512,Sulina,45.1559,29.6536,93,47.46,100,8.84
513,Gerāsh,27.6652,54.1371,18,68.0,0,1.79
514,La Santisima Trinidad,-14.8333,-64.9,62,89.6,40,4.61
515,Vilyuysk,63.7553,121.6247,92,-2.09,100,5.79
516,Ames,42.0347,-93.6199,50,74.48,1,13.8
517,Vostok,46.4856,135.8833,94,24.6,100,2.21
518,Saint Lawrence,36.0553,14.204,82,58.53,0,11.5
519,Cavalcante,-13.7975,-47.4583,76,76.8,100,2.33
520,Varna,43.2167,27.9167,93,48.36,75,4.61
521,Tvøroyri,61.5556,-6.8111,64,28.4,40,23.02
522,Llanes,43.4198,-4.7549,68,49.06,100,14.67
523,Panjāb,34.388,67.0233,47,32.18,0,5.28
524,Elliot,-31.3333,27.85,93,52.38,85,2.42
525,Khuzhir,53.1939,107.3397,87,26.11,49,3.38
526,Lodja,-3.4833,23.4333,96,69.6,100,2.13
527,Shūshtar,32.0455,48.8567,23,75.27,5,0.96
528,Paredon,16.0333,-93.8667,48,87.48,100,9.35
529,Korsholm,63.1142,21.6822,93,29.66,0,4.61
530,Jinchang,38.4953,102.1739,58,44.37,100,4.9
531,Westport,41.1415,-73.3579,26,64.08,1,18.41
532,Milak,28.6167,79.1833,15,79.9,71,9.93
533,Itaituba,-4.2761,-55.9836,81,81.5,100,2.1
534,Safi,32.2994,-9.2372,86,62.31,100,8.72
535,Bariloche,-41.1456,-71.3082,55,59.0,75,21.85
536,Puerto Escondido,15.85,-97.0667,70,87.8,90,6.91
537,Luleå,65.5842,22.1547,93,30.2,40,3.44
538,Suba,10.8438,121.0102,77,81.28,25,24.67
539,Illapel,-31.6308,-71.1653,43,78.03,0,7.74
540,Sebeta,8.9167,38.6167,43,61.75,25,4.21
541,Galveston,29.3669,-94.9669,73,76.37,75,14.97
542,Pontes e Lacerda,-15.2261,-59.3353,85,81.21,100,1.7
543,La Ronge,55.1001,-105.2842,40,48.2,63,6.91
544,Edd,13.9297,41.6925,24,89.64,80,21.14
545,Chimoio,-19.1164,33.4833,100,64.18,20,8.05
546,Correntina,-13.3433,-44.6367,42,86.41,86,8.03
547,Sidi Ali,36.0998,0.4206,46,60.91,100,2.13
548,Wilmington Island,32.0036,-80.9737,21,78.67,1,3.44
549,Fort Nelson,58.8053,-122.7002,74,28.4,90,8.05
550,Port Lincoln,-34.7333,135.8667,81,62.71,0,7.81
551,Mercedes,-34.6515,-59.4307,68,83.66,6,4.0
552,Fairbanks,64.8378,-147.7164,72,8.06,20,1.52
553,Vestmannaeyjar,63.4427,-20.2734,52,31.44,95,4.43
554,Changji,44.0167,87.3167,50,50.0,0,6.71
555,Manono,-7.3,27.4167,90,71.19,24,3.44
556,Nemuro,43.3236,145.575,73,33.21,100,6.8
557,Reyes,-14.3167,-67.3833,66,88.86,40,4.41
558,Arzamas,55.3949,43.8399,93,33.53,100,7.58
559,Xai-Xai,-25.0519,33.6442,73,69.82,0,6.13
